file,offset,valid_instructions_count,arch
1.exe,268489,7309,32
1.exe,150472,2383,32
1.exe,463876,1413,32
1.exe,305591,22,32
1.exe,366620,146,32
1.exe,527398,36496,32
1.exe,32690,611,32
1.exe,102212,44826,32
1.exe,278751,2178,32
1.exe,121735,25681,32
1.exe,260795,4222,32
1.exe,347721,53,32
1.exe,214375,1965,32
1.exe,25094,244,32
1.exe,151154,2042,32
1.exe,173400,11896,32
1.exe,412068,118,32
1.exe,275462,3822,32
1.exe,449000,110,32
1.exe,175797,10606,32
1.exe,472685,1894,32
1.exe,89609,1096,32
1.exe,559870,6395,32
1.exe,443448,78,32
1.exe,123871,23570,32
1.exe,63378,516,32
1.exe,432398,2,32
1.exe,73334,3672,32
1.exe,466850,4477,32
1.exe,172927,12167,32
1.exe,538493,25544,32
1.exe,286453,19,32
1.exe,517267,46360,32
1.exe,177283,9860,32
1.exe,40789,239,32
1.exe,402932,4,32
1.exe,65713,265,32
1.exe,529689,34251,32
1.exe,289164,72,32
1.exe,106684,40457,32
1.exe,283848,15,32
1.exe,333293,58,32
1.exe,529710,34230,32
1.exe,385282,1,32
1.exe,347176,2,32
1.exe,22133,1338,32
1.exe,216230,1307,32
1.exe,571731,555,32
1.exe,238493,15807,32
1.exe,568266,2197,32
1.exe,221536,289,32
1.exe,475227,2875,32
1.exe,77114,151,32
1.exe,328223,60,32
1.exe,561783,5438,32
1.exe,38298,371,32
1.exe,63081,765,32
1.exe,101042,45962,32
1.exe,317727,61,32
1.exe,176100,10448,32
1.exe,473529,1225,32
1.exe,450622,744,32
1.exe,497890,8453,32
1.exe,491311,1641,32
1.exe,503279,3158,32
1.exe,66269,67,32
1.exe,432520,9,32
1.exe,269329,6889,32
1.exe,429074,104,32
1.exe,317113,79,32
1.exe,5377,1398,32
1.exe,454255,262,32
1.exe,220617,592,32
1.exe,228445,19685,32
1.exe,344319,81,32
1.exe,450370,951,32
1.exe,492655,392,32
1.exe,24609,415,32
10.exe,33052,2,32
10.exe,95245,659,32
10.exe,87889,197,32
10.exe,16335,640,32
10.exe,81405,40,32
10.exe,75198,108,32
10.exe,55005,2,32
10.exe,79139,37,32
10.exe,98861,7449,32
10.exe,40789,73,32
10.exe,124543,1216,32
10.exe,48988,49,32
10.exe,10543,2363,32
10.exe,110904,1851,32
10.exe,36701,34,32
10.exe,47864,18,32
10.exe,58845,367,32
10.exe,74504,458,32
10.exe,71991,221,32
10.exe,46351,30,32
10.exe,67744,84,32
10.exe,86644,3,32
10.exe,94461,15,32
10.exe,38420,14,32
10.exe,13479,964,32
10.exe,5358,103,32
10.exe,84955,17,32
10.exe,96410,158,32
10.exe,38313,4,32
10.exe,112174,1351,32
10.exe,41280,81,32
10.exe,1346,1606,32
10.exe,53244,122,32
10.exe,48420,12,32
10.exe,18786,561,32
10.exe,100133,6890,32
10.exe,54231,7,32
10.exe,120084,3447,32
10.exe,40336,8,32
10.exe,42688,3,32
10.exe,41964,85,32
10.exe,123310,1833,32
10.exe,4773,373,32
10.exe,38596,84,32
10.exe,58437,549,32
10.exe,103999,4962,32
10.exe,100422,6760,32
10.exe,10043,2613,32
10.exe,67932,2,32
10.exe,105628,4261,32
10.exe,90048,135,32
10.exe,119677,3634,32
10.exe,54016,11,32
10.exe,97112,136,32
10.exe,60110,111,32
10.exe,115901,4990,32
10.exe,110331,2078,32
10.exe,59872,230,32
10.exe,46130,25,32
10.exe,11199,2055,32
10.exe,48476,18,32
10.exe,105758,4200,32
10.exe,35521,97,32
10.exe,34459,2,32
10.exe,873,1842,32
10.exe,49350,3,32
10.exe,86158,16,32
10.exe,109390,2470,32
10.exe,111697,1535,32
10.exe,93045,262,32
10.exe,106982,3600,32
10.exe,87896,192,32
10.exe,87897,193,32
10.exe,118915,3952,32
10.exe,72130,149,32
10.exe,63078,140,32
10.exe,20519,77,32
10.exe,113535,815,32
10.exe,13093,1144,32
10.exe,19368,277,32
10.exe,59178,201,32
10.exe,53483,5,32
10.exe,11832,1741,32
10.exe,85262,58,32
10.exe,28076,1,32
10.exe,78665,68,32
10.exe,99346,7264,32
10.exe,41955,88,32
10.exe,124654,1161,32
10.exe,110193,2131,32
10.exe,36664,55,32
10.exe,51085,40,32
10.exe,54776,10,32
10.exe,47521,92,32
10.exe,125363,806,32
10.exe,82724,15,32
10.exe,107873,3187,32
10.exe,97911,7751,32
10.exe,13218,1079,32
10.exe,44218,229,32
10.exe,81183,103,32
10.exe,55509,65,32
10.exe,25580,46,32
10.exe,57016,131,32
10.exe,47304,6,32
10.exe,103493,5183,32
10.exe,50731,78,32
10.exe,75283,66,32
10.exe,105592,4278,32
10.exe,96045,284,32
10.exe,76995,74,32
10.exe,2580,989,32
10.exe,109180,2575,32
10.exe,58442,548,32
10.exe,104517,4756,32
10.exe,41555,63,32
